# Unseeded corpus words
# Each row is attested in the corpus and cannot reach an MDB gloss through the registered resolution paths.
# corpus_sentences: 210204
# corpus_tokens: 1776902
# equivalences_sha256: 5099aaae8ee6a40dc8a03b6502db3b757a49d79671258f0ed172fc2fed426665
# reviews_sha256: none
# scanned_unresolved_occurrences: 113715
# resolved_lexical_equivalence: 26
# resolved_conditioned_form: 190
# resolved_tagger_lemma: 1735
rank	form	occurrences	collection_count	dialect_count	region_count	surfaces	collections	dialects	dialect_paths	regions	tagger_lemmas	tagger_pos	review_disposition	suggested_parse	evidence	note	contexts
1013	pohka	10	2	2	1	"[""pohka""]"	"[""elpr-a2"",""浅井タケ昔話全集 I, II""]"	"[""ライチシカ"",""小田洲""]"	"[""樺太/西海岸/小田洲"",""樺太/西海岸/来知志""]"	"[""樺太""]"	"[{""value"":""pohka"",""count"":10}]"	"[{""value"":""ADV"",""count"":9},{""value"":""VERB"",""count"":1}]"	unreviewed				"[{""sentence_id"":""aa-asai/004#46"",""text"":""\"" 'iine'ahsuy monimahpo 'uta, hemata 'ehci wa 'okayahci hii? 'anoka ka mawa'an kusu 'okayan, hemata 'ehci! 'episkan pohka taa 'ihunarahunara kusu 'an\"""",""translation"":""「どれどれ、娘たちは何を食べているんだろう？ わしは腹がへった。何を食ってるんだ！ あちこちから食べ物を集めて来ている。」"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""ポヌンカヨ -86"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at04aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""elpr-a2/039/fujiyama/004#108"",""text"":""nii suhtonke pohka kemasuye"",""translation"":""木の幹の中ほどのところを走って行き、"",""collection"":""elpr-a2"",""document"":""ウチャシクマ 4 (言い伝え4)"",""dialect"":""ライチシカ"",""dialect_path"":""樺太/西海岸/来知志"",""region"":""樺太"",""uri"":""urn:issn:1346-082X"",""source_slug"":""corpus-sghwzc""}]"
1014	puspusu	10	2	1	1	"[""puspusu""]"	"[""アイヌ語アーカイブ"",""アイヌ語訳新約聖書""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""puspusu"",""count"":10}]"	"[{""value"":""ADP"",""count"":6},{""value"":""NOUN"",""count"":2}]"	unreviewed				"[{""sentence_id"":""bible/1jn/002#23"",""text"":""Nen ne yakka Poho esikaske kur anakne ne kur anak Mici somo kor: Poho puspusu kur anakne Mici ne yakka kor ruwe ne."",""translation"":""御子を認めない者はだれも、御父に結ばれていません。御子を公に言い表す者は、御父にも結ばれています。"",""collection"":""アイヌ語訳新約聖書"",""document"":""2"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""nam-archive/shinyo/02#5"",""text"":""ra o cep puspusu wa ikawa e... ikawa a cep"",""translation"":""下の魚を散らかして??上にある魚に"",""collection"":""アイヌ語アーカイブ"",""document"":""カワウソと倉の魚（ペナタチチ・パナタチチ）（1983）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E7%A5%9E%E8%AC%A1%28%EF%BD%B1%29%E3%82%AB%E3%83%AF%E3%82%A6%E3%82%BD%E3%81%A8%E5%80%89%E3%81%AE%E9%AD%9A%EF%BC%88%E3%83%9A%E3%83%8A%E3%82%BF%E3%83%81%E3%83%81%E3%83%BB%E3%83%91%E3%83%8A%E3%82%BF%E3%83%81%E3%83%81%EF%BC%89%EF%BC%881983%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1015	ritetke	10	2	1	1	"[""ritetke""]"	"[""アイヌ語アーカイブ"",""アイヌ語訳新約聖書""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""ritetke"",""count"":10}]"	"[{""value"":""VERB"",""count"":9}]"	unreviewed				"[{""sentence_id"":""bible/act/023#11"",""text"":""Ne e=oya ancikar ta Utarpa anakne sinuma samake ta as kane ene itak hi :— Ramu-ritetke yan: eani anakne Yerusarem kotan ta en kusu pawetesu ki nisa ruwe ne koraci, Roma kotan ta ne yakka pawetesu e ki kusu ne ap ruwe ne na."",""translation"":""その夜、主はパウロのそばに立って言われた。「勇気を出せ。エルサレムでわたしのことを力強く証ししたように、ローマでも証しをしなければならない。」"",""collection"":""アイヌ語訳新約聖書"",""document"":""23"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""nam-archive/minwa/04#366"",""text"":""tane ritetke=an pe ne kusu"",""translation"":""それからはもう回復したので"",""collection"":""アイヌ語アーカイブ"",""document"":""クマと一緒に逃げた娘（1983）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29%E3%82%AF%E3%83%9E%E3%81%A8%E4%B8%80%E7%B7%92%E3%81%AB%E9%80%83%E3%81%92%E3%81%9F%E5%A8%98%EF%BC%881983%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1016	sotkikar	10	2	1	1	"[""sotkikar""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ""]"	"[""静内""]"	"[""北海道/北東/静内""]"	"[""北海道""]"	"[{""value"":""sotkikar"",""count"":10}]"	"[{""value"":""VERB"",""count"":1}]"	unreviewed				"[{""sentence_id"":""aa-irc/017#136"",""text"":""sotkikar hine, oka=an."",""translation"":""寝床を整えて、私たちは過ごした。"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 Moyuk（前半）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=17"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""nam-archive/oda-minwa/00#1090"",""text"":""ikia ponmenoko sotkikar __hine"",""translation"":""その若い女性は寝床を作って"",""collection"":""アイヌ語アーカイブ"",""document"":""いつの間にか子供ができ、置き去りにされた娘（1982）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E7%B9%94%E7%94%B0%E3%82%B9%E3%83%86%E3%83%8E%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%81%84%E3%81%A4%E3%81%AE%E9%96%93%E3%81%AB%E3%81%8B%E5%AD%90%E4%BE%9B%E3%81%8C%E3%81%A7%E3%81%8D%E3%80%81%E7%BD%AE%E3%81%8D%E5%8E%BB%E3%82%8A%E3%81%AB%E3%81%95%E3%82%8C%E3%81%9F%E5%A8%98%EF%BC%881982%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1017	takahka	10	2	2	1	"[""takahka""]"	"[""アイヌ語教材テキスト"",""浅井タケ昔話全集 I, II""]"	"[""小田洲"",""鵜城""]"	"[""樺太/西海岸/小田洲"",""樺太/西海岸/鵜城""]"	"[""樺太""]"	"[{""value"":""takahka"",""count"":10}]"	"[{""value"":""ADV"",""count"":8},{""value"":""VERB"",""count"":2}]"	unreviewed				"[{""sentence_id"":""aa-asai/021#0"",""text"":""takahka tuytah"",""translation"":""カニの話"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""カニの話"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at21aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""zaidan-textbooks/karahuto-intermediate/21#0"",""text"":""takahka mahtekuh too kaske ta rikin manu. nee teh tama rise."",""translation"":""カニの女が湖面に上ってきた。そして、（ふんどしに縫い付けた）ガラス玉をむしった"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ21 動詞の単数・複数３"",""dialect"":""鵜城"",""dialect_path"":""樺太/西海岸/鵜城"",""region"":""樺太"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/karahuto_tyukyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1018	tannep	10	2	2	1	"[""tannep""]"	"[""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）""]"	"[""沙流"",""静内""]"	"[""北海道/北東/静内"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""tannep"",""count"":10}]"	"[{""value"":""NOUN"",""count"":10}]"	unreviewed				"[{""sentence_id"":""nam-archive/iitsutae/02#63"",""text"":""tannep hetap ne i=kosawosma i=ko..."",""translation"":""長いものだかが私のほうへ来ました。"",""collection"":""アイヌ語アーカイブ"",""document"":""ヘビににらまれて太陽の神に助けを求めた話（1981）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E8%A8%80%E3%81%84%E4%BC%9D%E3%81%88%28%EF%BD%B1%29%E3%83%98%E3%83%93%E3%81%AB%E3%81%AB%E3%82%89%E3%81%BE%E3%82%8C%E3%81%A6%E5%A4%AA%E9%99%BD%E3%81%AE%E7%A5%9E%E3%81%AB%E5%8A%A9%E3%81%91%E3%82%92%E6%B1%82%E3%82%81%E3%81%9F%E8%A9%B1%EF%BC%881981%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""},{""sentence_id"":""x-social/okokkoituren#976"",""text"":""tannep"",""translation"":""蛇"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""黒狐のシトゥンペ (@okokkoituren)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/okokkoituren/status/1620762108676943875"",""source_slug"":null}]"
1019	temtemu	10	2	2	1	"[""temtemu""]"	"[""アイヌ語アーカイブ"",""アイヌ語教材テキスト""]"	"[""沙流"",""静内""]"	"[""北海道/北東/静内"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""temtemu"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""nam-archive/kawakami-minwa/01#1829"",""text"":""sekor a=ye kor a=temtemu"",""translation"":""と言いながら（おばあさんの）世話をして"",""collection"":""アイヌ語アーカイブ"",""document"":""おばあちゃんとヤマブドウ（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%81%8A%E3%81%B0%E3%81%82%E3%81%A1%E3%82%83%E3%82%93%E3%81%A8%E3%83%A4%E3%83%9E%E3%83%96%E3%83%89%E3%82%A6%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""},{""sentence_id"":""zaidan-textbooks/shizunai-intermediate/08#4"",""text"":""henne wa. somo ku=temtemu wa."",""translation"":""いいえ。私は触ってないよ"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ 8 「～しない」否定文"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/shizunai_t.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1020	tonin	10	2	2	1	"[""tonin""]"	"[""アイヌ語アーカイブ"",""アイヌ語訳新約聖書""]"	"[""北海道"",""沙流""]"	"[""北海道"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""tonin"",""count"":10}]"	"[{""value"":""NOUN"",""count"":2}]"	unreviewed				"[{""sentence_id"":""bible/act/012#23"",""text"":""Orowa nani Utarpa hawturunpe sinuma kokik, Kamuy koarakure somo ki nisa ruwe ne kusu ne na: orowa, tonin ani ae wa ramat korpare nisa ruwe ne."",""translation"":""するとたちまち、主の天使がヘロデを撃ち倒した。神に栄光を帰さなかったからである。ヘロデは、蛆に食い荒らされて息絶えた。"",""collection"":""アイヌ語訳新約聖書"",""document"":""12"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""nam-archive/ueda-minwa/09#40"",""text"":""oro ta tonin koyyanke hine ek __hine"",""translation"":""そこにクラゲが海からあがってきて"",""collection"":""アイヌ語アーカイブ"",""document"":""サルの生き肝（1999）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E4%B8%8A%E7%94%B0%E3%83%88%E3%82%B7%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%82%B5%E3%83%AB%E3%81%AE%E7%94%9F%E3%81%8D%E8%82%9D%EF%BC%881999%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1021	tusutusuk	10	2	1	1	"[""tusutusuk""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ""]"	"[""静内""]"	"[""北海道/北東/静内""]"	"[""北海道""]"	"[{""value"":""tusutusuk"",""count"":10}]"	"[{""value"":""NOUN"",""count"":5},{""value"":""VERB"",""count"":5}]"	unreviewed				"[{""sentence_id"":""aa-irc/026#93"",""text"":""an=sikehe sempir ta tusutusuk=an kamuy ne manu p an=ye kane,"",""translation"":""自分の荷物の蔭で震えて、こう、神様に言いながら"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ Otasut-un-katkemat オタスッウン カッケマッ"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=26"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""nam-archive/minwa/08#153"",""text"":""cis hontomotuye hine tusutusuk kane"",""translation"":""妹は泣くのを止めて震えながら"",""collection"":""アイヌ語アーカイブ"",""document"":""交易先で和人にさらわれた妹（1982）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29%E4%BA%A4%E6%98%93%E5%85%88%E3%81%A7%E5%92%8C%E4%BA%BA%E3%81%AB%E3%81%95%E3%82%89%E3%82%8F%E3%82%8C%E3%81%9F%E5%A6%B9%EF%BC%881982%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1022	ukan	10	2	1	1	"[""ukan""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ""]"	"[""沙流""]"	"[""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""ukan"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""aa-irc/005#354"",""text"":""ukan ukan pókor hi orano anakne a=kor son utar patek"",""translation"":""次から次と［註29］子供を産んでからは私の子供たちだけが"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 「川上まつ子さん口演・浜田隆史聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 7」"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=4"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""nam-archive/kawakami-minwa/01#1783"",""text"":""ukan ukan menoko or_ ta okkayo or_ ta"",""translation"":""めいめい女性にも男性にも"",""collection"":""アイヌ語アーカイブ"",""document"":""おばあちゃんとヤマブドウ（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%81%8A%E3%81%B0%E3%81%82%E3%81%A1%E3%82%83%E3%82%93%E3%81%A8%E3%83%A4%E3%83%9E%E3%83%96%E3%83%89%E3%82%A6%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1023	ukotuwaskarap	10	2	1	1	"[""ukotuwaskarap""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ""]"	"[""静内""]"	"[""北海道/北東/静内""]"	"[""北海道""]"	"[{""value"":""ukotuwaskarap"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""aa-irc/027#175"",""text"":""an=siwto utar i... i=ukotuwaskarap [43] kane, oka=an konno,"",""translation"":""舅たちみんなが私をかわいがってくれて、私たちは暮らしていると、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ reyep kamuy レイェㇷ゚　カムイ"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=27"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""nam-archive/minwa/11#326"",""text"":""ukotuwaskarap kane oka=an ayne"",""translation"":""みんなで慈しみ合いながら暮らしていたあげく"",""collection"":""アイヌ語アーカイブ"",""document"":""兄と交易に行った妹（1982）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29%E5%85%84%E3%81%A8%E4%BA%A4%E6%98%93%E3%81%AB%E8%A1%8C%E3%81%A3%E3%81%9F%E5%A6%B9%EF%BC%881982%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1024	url	10	2	1	1	"[""url""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）""]"	"[""沙流・千歳""]"	"[""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""url"",""count"":10}]"	"[{""value"":""VERB"",""count"":7},{""value"":""NOUN"",""count"":2},{""value"":""PART"",""count"":1}]"	unreviewed				"[{""sentence_id"":""ainu-times/031/7#1"",""text"":""pirka URL eci=núre kusu ne."",""translation"":""いいURLをお知らせします。"",""collection"":""アイヌタイムズ"",""document"":""topikkusu (usa oruspe)"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/千歳"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""x-social/toykaunpe#16"",""text"":""tan URL nukar yan!"",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""toykaunpe (@toykaunpe)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/toykaunpe/status/9719326829"",""source_slug"":null}]"
1025	usahpa	10	2	2	1	"[""usahpa""]"	"[""アイヌ語教材テキスト"",""浅井タケ昔話全集 I, II""]"	"[""小田洲"",""来知志""]"	"[""樺太/西海岸/小田洲"",""樺太/西海岸/来知志""]"	"[""樺太""]"	"[{""value"":""usahpa"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""aa-asai/016#33"",""text"":""samahciteh taa pirikano 'okayahci 'ike taa'usahpa 'usahpa cise karahciteh tani taa 'okayahci manuyke taa, ウン 'okayahci yayne tani 'okorehehcin tani taa, poo korohci manuyke taa, rihpo ka 'ahkas cikah ka tehkupihi sayayse 'ike 'uynahci 'ike muysankeh ne naa sahka ne naa ta'ah korohcipe nee manu."",""translation"":""一緒になって幸せに暮らして、みんなそれぞれ家を建てて暮らしたんだが…そうしている中にみんな今は子どももできて、空飛ぶ鳥も羽を落とし、その羽を拾ってホウキやハシを作ったということだ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""魚の尾びれの話"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at16aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""zaidan-textbooks/karahuto-beginner/24#1"",""text"":""usahpa usahpa payehci."",""translation"":""めいめい出かけて行った"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ24 動詞の単数・複数１"",""dialect"":""来知志"",""dialect_path"":""樺太/西海岸/来知志"",""region"":""樺太"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/karahuto_shokyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1026	wenkewsutu	10	2	2	1	"[""wenkewsutu""]"	"[""アイヌ語アーカイブ"",""知里幸恵のウウェペケレ（昔話）""]"	"[""幌別"",""静内""]"	"[""北海道/北東/静内"",""北海道/南西/幌別""]"	"[""北海道""]"	"[{""value"":""wenkewsutu"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""nam-archive/minwa/00#237"",""text"":""ari a=wenkewsutu hawki konno"",""translation"":""と私の性悪なおじが言うと"",""collection"":""アイヌ語アーカイブ"",""document"":""犬と一緒に育てられた少年（1980）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E7%8A%AC%E3%81%A8%E4%B8%80%E7%B7%92%E3%81%AB%E8%82%B2%E3%81%A6%E3%82%89%E3%82%8C%E3%81%9F%E5%B0%91%E5%B9%B4%EF%BC%881980%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""},{""sentence_id"":""yukie-uepeker/003#25"",""text"":""awa a=wenkewsutu Aep Ramat e kironnu wa"",""translation"":""と 悪い伯父は 食物の精を食べて満腹して"",""collection"":""知里幸恵のウウェペケレ（昔話）"",""document"":""Kemram kamuy nō-tonoho itak"",""dialect"":""幌別"",""dialect_path"":""北海道/南西/幌別"",""region"":""北海道"",""uri"":""urn:isbn:9784832804029"",""source_slug"":""chiri-yukie-uwepeker""}]"
1027	wooneka	10	2	2	1	"[""wooneka""]"	"[""アイヌ語教材テキスト"",""浅井タケ昔話全集 I, II""]"	"[""小田洲"",""樺太""]"	"[""樺太"",""樺太/西海岸/小田洲""]"	"[""樺太""]"	"[{""value"":""wooneka"",""count"":10}]"	[]	unreviewed				"[{""sentence_id"":""aa-asai/002#20"",""text"":""\""nannaha, nanna tani 'oyasi 'uta 'ehcihii ダナッテ コウイッテ cisahci manu. cisahci teh 'orowa suy taa, sinke'ikehe taa, アノ 'inoskun monimahpo, nannaha wooneka kusu heekopo tura makan kusu yee yahka 'ampene 'etunne manu."",""translation"":""「姉さんが今化け物たちに食べられたんだな。」って、こう言って泣いたとさ。泣いてからまた、その次の日に、中の娘が、姉さんを探しに妹といっしょに山に行こうと言ったが、（妹は）嫌がったとさ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""頭蓋骨 -84（娘編）"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at02aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""zaidan-textbooks/karahuto-beginner/17#2"",""text"":""ku=nanna en=wooneka."",""translation"":""姉が様子を見に来てくれた"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ17 人称について学ぶ5「私を...する」の表現"",""dialect"":""樺太"",""dialect_path"":""樺太"",""region"":""樺太"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/karahuto_shokyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1028	ws	10	2	1	1	"[""ws""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語訳新約聖書""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""ws"",""count"":10}]"	"[{""value"":""VERB"",""count"":4},{""value"":""NOUN"",""count"":3},{""value"":""ADP"",""count"":1}]"	unreviewed				"[{""sentence_id"":""bible/jhn/009#6"",""text"":""Tanpe ye okere kor, siri kata topse-kar wa ne non ani ten toy kar hine ani ne kur kor sikihi a=ws,"",""translation"":""こう言ってから、イエスは地面に唾をし、唾で土をこねてその人の目にお塗りになった。"",""collection"":""アイヌ語訳新約聖書"",""document"":""9"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""x-social/QWaddix#218"",""text"":""Kú=ne-e tas-na-ýe-kar `-` hyphen p itak-i-ki-ri-p ý-ák-na-tara frag-ment part-cles word-s af-fix-es kar horiz..se-kor nu-kar `A=aynu-kor ita-k-ram{ú}a-t ta kor-e-i hi-oy`oy! {Ku=no} kor{o}ka ne kampi-nu-kar Ainu-or-oitak-i-kat-u-p teš-kar ne-ws lčha-t'-kor-o"",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""Qateri Waddi (@QWaddix)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/QWaddix/status/1772812581151133859"",""source_slug"":null}]"
1029	yaytura	10	2	1	1	"[""yaytura""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語訳新約聖書""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""yaytura"",""count"":10}]"	"[{""value"":""VERB"",""count"":8}]"	unreviewed				"[{""sentence_id"":""bible/act/008#29"",""text"":""Orowa, Ramat anakne Piripos or ta-karankeno arpa wa tan nisinta orun yaytura yan — ari itak."",""translation"":""すると、“霊”がフィリポに、「追いかけて、あの馬車と一緒に行け」と言った。"",""collection"":""アイヌ語訳新約聖書"",""document"":""8"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""x-social/aynuitak_jiji#516"",""text"":""Tampe neno an merayke annoski ta yaytura e=hotke ruwe ?"",""translation"":""こんな寒い夜に君は孤床をかこつのかな？"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""非ウポポイ系アイヌ (@aynuitak_jiji)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/aynuitak_jiji/status/537629572565463040"",""source_slug"":null}]"
